Epoch 1, Train Loss: 14.9397, Valid Loss: 10.3519, SSIM MAE: 599.6464, Size MAE: 99.9446, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 114, Train Loss: 2.9827, Valid Loss: 1.7759, SSIM MAE: 67.8091, Size MAE: 52.8623, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 115, Train Loss: 3.0129, Valid Loss: 1.8644, SSIM MAE: 72.8350, Size MAE: 53.1373, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 116, Train Loss: 3.0207, Valid Loss: 1.7425, SSIM MAE: 64.3018, Size MAE: 52.5677, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 117, Train Loss: 2.9996, Valid Loss: 1.7706, SSIM MAE: 67.2560, Size MAE: 52.9076, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 118, Train Loss: 3.0404, Valid Loss: 1.7705, SSIM MAE: 66.9106, Size MAE: 52.7409, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 119, Train Loss: 3.0298, Valid Loss: 1.7360, SSIM MAE: 65.1698, Size MAE: 52.6107, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 120, Train Loss: 3.0192, Valid Loss: 1.7503, SSIM MAE: 65.1496, Size MAE: 52.7302, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 121, Train Loss: 3.0114, Valid Loss: 1.8121, SSIM MAE: 69.2509, Size MAE: 53.0410, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 122, Train Loss: 3.0233, Valid Loss: 1.8637, SSIM MAE: 73.1376, Size MAE: 53.2617, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 123, Train Loss: 3.0049, Valid Loss: 1.9142, SSIM MAE: 74.1792, Size MAE: 53.0211, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 124, Train Loss: 3.0338, Valid Loss: 1.8821, SSIM MAE: 73.7083, Size MAE: 53.0616, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 125, Train Loss: 3.0005, Valid Loss: 1.8037, SSIM MAE: 69.3448, Size MAE: 52.8192, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 126, Train Loss: 3.0255, Valid Loss: 1.7330, SSIM MAE: 64.9430, Size MAE: 52.7639, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 127, Train Loss: 3.0079, Valid Loss: 1.8368, SSIM MAE: 71.2908, Size MAE: 53.0879, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 128, Train Loss: 3.0152, Valid Loss: 1.7698, SSIM MAE: 67.4787, Size MAE: 52.7933, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 129, Train Loss: 3.0669, Valid Loss: 1.9154, SSIM MAE: 73.0529, Size MAE: 53.2583, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 130, Train Loss: 3.0277, Valid Loss: 1.8077, SSIM MAE: 69.2115, Size MAE: 52.9774, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 131, Train Loss: 3.0567, Valid Loss: 1.8494, SSIM MAE: 71.7974, Size MAE: 53.0381, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 132, Train Loss: 2.9959, Valid Loss: 1.8744, SSIM MAE: 72.0757, Size MAE: 53.1120, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 133, Train Loss: 2.9895, Valid Loss: 1.9345, SSIM MAE: 76.4766, Size MAE: 53.4578, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 134, Train Loss: 3.0423, Valid Loss: 1.8448, SSIM MAE: 70.5172, Size MAE: 53.0793, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 135, Train Loss: 2.9837, Valid Loss: 1.8063, SSIM MAE: 69.1035, Size MAE: 52.9907, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
